Countries,Dishes,Recipe Links,Beans,Beef,Cheese,Chicken,Eggs,Fish,Oil,Olive Oil,Onion,Pork,Potato,Prawns,Radish,Rice,Tomato,Vegetables,Wheat
China,Yangzhou fried rice,https://www.madewithlau.com/recipes/yangzhou-fried-rice,,,,,0.0224,,0.009,,,0.0283,,0.0227,,0.06167,,0.0226,
India,Vegetable curry with Chapathi,"https://www.slurrp.com/recipes/mixed-veg-1611367030 ,https://www.bongeats.com/recipe/roti",,,,,,,0.0075,,0.075,,0.075,,,,0.075,0.214,0.08
Indonesia,Nasi Goreng,https://www.recipetineats.com/nasi-goreng-indonesian-fried-rice/,,,,0.0375,0.005,,0.0085,,0.075,,,,,0.135,,,
Nigeria,Jollof rice,https://www.slurrp.com/recipes/jollof-rice-1623823191,,,,0.0435,,,,,0.078599,,,,,0.05625,,,
Bangladesh,Fish curry with Rice,https://www.slurrp.com/recipes/bangladesh-fish-curry-recipe-1622791817,,,,,,0.075,,,0.00017,,,,0.075,0.4,,,
Mexico,Tacos,https://www.bettycrocker.com/recipes/easy-beef-tacos/426c261d-b2eb-4e22-9cba-0066f3335591,,0.045,0.011339,,,,,,,,,,,,0.0226796,,0.041667
Russia,Pelmeni,https://www.thekitchn.com/pelmeni-recipe-23058710,,0.011339,,,0.0005,,,,0.01417,0.011339,,,,,,,0.0375
Brazil,Feijaoada with rice,https://www.curiouscuisiniere.com/feijoada-brazilian-black-bean-stew/,0.0453592,,,,,,,0.0143,0.03144,0.0567,,,,0.167,0.0085,,
Pakistan,Pakistani nihari,https://samarascuisine.com/nihari-recipe/,,0.1135,,,,,0.0283,,0.0625,,,,,,,,0.0071
United States of America,"Burgers, Fries",https://www.foodrepublic.com/recipes/all-american-cheeseburger-recipe/,,0.151195945,0.04,,,,,,0.02918,,0.08505,,,,0.02918,,0.105
